35900000,35900999,1000,Telenor Norge AS,TILDELT,Fastnettnummer
35901000,35901999,1000,Telenor Norge AS,TILDELT,Fastnettnummer
35902000,35937999,36000,Telenor Norge AS,TILDELT,Fastnettnummer
35938000,35938999,1000,Telenor Norge AS,TILDELT,Fastnettnummer
35939000,35999999,61000,Telenor Norge AS,TILDELT,Fastnettnummer
36000000,36999999,1000000,Nasjonal kommunikasjonsmyndighet,BLOKKERT,Fastnettnummer
37000000,37099999,100000,Telenor Norge AS,TILDELT,Fastnettnummer
37100000,37109999,10000, ,LEDIG,Fastnettnummer
37110000,37119999,10000,Telenor Norge AS,TILDELT,Fastnettnummer
37120000,37129999,10000, ,LEDIG,Fastnettnummer
37130000,37132999,3000,Telenor Norge AS,TILDELT,Fastnettnummer
37133000,37133999,1000,Telenor Norge AS,TILDELT,Fastnettnummer
37134000,37177999,44000,Telenor Norge AS,TILDELT,Fastnettnummer
37178000,37178999,1000,Telenor Norge AS,TILDELT,Fastnettnummer
37179000,37179999,1000,Telenor Norge AS,TILDELT,Fastnettnummer
37180000,37199999,20000,Telenor Norge AS,TILDELT,Fastnettnummer
37200000,37229999,30000, ,LEDIG,Fastnettnummer
37230000,37299999,70000,Telenor Norge AS,TILDELT,Fastnettnummer
37300000,37309999,10000, ,LEDIG,Fastnettnummer
37310000,37319999,10000,NextGenTel AS,TILDELT,Fastnettnummer
37320000,37322999,3000,Telia Norge AS,TILDELT,Fastnettnummer
37323000,37389999,67000, ,LEDIG,Fastnettnummer
37390000,37399999,10000,GlobalConnect AS,TILDELT,Fastnettnummer
37400000,37409999,10000,Telia Norge AS,TILDELT,Fastnettnummer
37410000,37416999,7000, ,LEDIG,Fastnettnummer
37417000,37418999,2000,Telavox AS,TILDELT,Fastnettnummer
37419000,37419999,1000,Telia Norge AS,TILDELT,Fastnettnummer
37420000,37499999,80000, ,LEDIG,Fastnettnummer
37500000,37509999,10000,Telia Norge AS,TILDELT,Fastnettnummer
37510000,37699999,190000, ,LEDIG,Fastnettnummer
37700000,37709999,10000,Telia Norge AS,TILDELT,Fastnettnummer
37710000,37714999,5000,NextGenTel AS,TILDELT,Fastnettnummer
37715000,37715999,1000,Voxbone SA/NV,TILDELT,Fastnettnummer
37716000,37716999,1000,NextGenTel AS,TILDELT,Fastnettnummer
37717000,37799999,83000, ,LEDIG,Fastnettnummer
37800000,37809999,10000, ,LEDIG,Fastnettnummer
37810000,37883999,74000, ,LEDIG,Fastnettnummer
37884000,37885999,2000,Altibox AS,TILDELT,Fastnettnummer
37886000,37892999,7000,Telia Norge AS,TILDELT,Fastnettnummer
37893000,37893999,1000,Orange Business Norway AS,TILDELT,Fastnettnummer
37894000,37894999,1000,Ice Communication Norge AS,TILDELT,Fastnettnummer
